category,part_name,example_spec,quantity_per_unit,unit_price_estimate,preferred_supplier,alternative_supplier,test_status,notes
MCU,ESP32-S3 board,ESP32-S3 dev board with PSRAM preferred,1,10-30,,,pending,
Audio,I2S microphone,Digital mic module,1,3-15,,,pending,
Audio,I2S amplifier,Small class-D amp,1,3-10,,,pending,
Audio,Speaker,Small 4Ω/8Ω speaker,1,2-10,,,pending,
Storage,microSD module,SPI microSD module,1,2-8,,,pending,
Storage,microSD card,8GB or 16GB,1,3-10,,,pending,
Display,OLED display,0.96 inch I2C OLED,1,5-20,,,optional,
Input,Buttons,Push buttons,2,1-5,,,pending,
Power,Power module,USB-C or battery module,1,5-20,,,pending,
Mechanical,Enclosure,3D printed or simple case,1,10-50,,,pending,
Packaging,Quick start card,Printed card,1,0.2-1,,,pending,
